,RequestNumAppName,FeatureRequest-ErrorFixed,Defect,Class,Reason,Interpretations,Questions,StartIndex,EndIndex,AnnotatedText,IndexExtract
0,72-Signal,Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,Ambiguity,Lexical,"JB is an abbreviation that could represent multiple possible words or phrases, resulting in ambiguity.",jail break; an app named JB; an app abbreviated as JB,"When you wrote ""JB-style"", what is JB? Is it the name of another app, an abbreviation for another app (and if so, what app), or something else?",190,198,JB-style,JB-style
1,72-Signal,Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,Ambiguity,Syntactic,"The prepositional phrase ""in (the) notification bar"" can attach to either 'message' or 'preview', creating two possible interpretations.",a preview located in the notification bar of a message elsewhere; a preview elsewhere of a message located in the notification bar,"When you wrote ""a preview of the message in notification bar"", did you mean ""a preview located in the notification bar of a message elsewhere"", ""a preview elsewhere of a message located in the notification bar"", or something else?",148,168,in notification bar.,in notification bar.
2,312-Signal,"Request Number - 312 | Request Title - Need Batch Selection Mode for individual messages inside a conversation | Request Description - Deleting individual messages from a conversation is cumbersome and inefficient (Hold down on a message, then select Delete from popup menu, then select Yes on confirmation message, one message at a time). By way of contrast, holding down on a conversation in the Conversations list initiates Batch Selection Mode, allowing user to select multiple conversations for an action (currently Delete is the only option). Being able to trim out fluff from a conversation but keep important messages would be a valuable feature. A similar Batch Selection Mode for individual messages within a conversation (as already exists in the default Android Text Message app) would provide this functionality.",No Defect Found,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
3,587-Signal,Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?,Ambiguity,Lexical,"The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings",simple; useful; effective; easily accessible,"When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?",119,124,handy,handy
4,587-Signal,Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?,Ambiguity,Vagueness,The term 'easily' is vague and cannot be empirically measured.,how easily is easily?,What target goals should accessing a link achieve to make it sufficiently 'easily found'?,135,148,easily found),easily found)
5,587-Signal,Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?,Ambiguity,Vagueness,The terms associated with the word 'handy' are vague terms that cannot be empirically assessed.,how handy is handy?,What target goals should a link meet to be considered 'handy'?,119,124,handy,handy
6,587-Signal,Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?,Ambiguity,Syntactic,"A word may have been omitted for brevity that could change the interpretation of the sentence, creating multiple possible meanings.",share (usage of) your app; share (awareness of) your app,"When you wrote ""share your app"", did you mean ""share (usage of) your app"", ""share (awareness of) your app"", or something else?",167,182,share your app?,share your app?
7,937-Signal,"Request Number - 937 | Request Title - Conversation View: Consistent message order | Request Description - Please correct me, but as far as I can tell, messages are sorted by time of arrival. However, since the messages are transported either via SMS or via Google Cloud Messaging, both of which don't guarantee ordering, messages may appear in the wrong order. This means that chat participants may see deviating orders of messages, replies to messages they don't even see. In theory, it's even possible that several messages from the same sender arrive and are displayed in wrong order.  Idea 1: Sort the conversation view by ""sent"" timestamp. See also Display send date for incoming messages #806. Problem: What is the ""sent"" date? Is it reliable? Is it set by the client or the TS server (farm)? Idea 2: Give each message a sequence number generated by the TextSecure server. Sort conversation view according to those numbers. Problem: Many, but not all messages go through the TS server. Idea 3: Employ vector clocks.",No Defect Found,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
8,1173-Signal,"Request Number - 1173 | Request Title - Add ""Don't show again"" checkbox to thumbnail dialogs | Request Description - To improve the usability, the thumbnail dialogs (open and save) should contain a ""Don't show again"" checkbox so that the user isn't bothered again. The idea is, that the user understands that there might be a little risk in opening or saving an attached image, but doesn't want to see this warning again and again. Most users expect that the image instantly shows up. So it is nice to have this warning message, but there should be the possibility to disable it.",No Defect Found,N/a,N/a,N/a,N/a,N/a,N/a,N/a,N/a
9,4031-Signal,Request Number - 4031 | Request Title - Cancel media download  | Request Description - Add option to cancel running media downloads Once we go large media this is really needed,Ambiguity,Vagueness,The term 'large' is vague and cannot be empirically measured.,how large is large?,"When you wrote ""large media"", at what size would you consider media to be large?",143,148,large,large
