,App-RequestNumber,DefectClass,GroundTruth,Prompts
0,2055-Signal,"{'Pragmatic': 2, 'Lexical': 1, 'Semantic': 2, 'Vagueness': 1}","Extracted pragmatic ambiguity segment(s): ['this', 'This']","Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 2055 | Request Title - use delivery receipts to show message received time for outgoing messages | Request Description - After long pressing on a message and selecting the info button, the message details are shown. This includes the sent and received times for incoming messages. For outgoing messages, in contrast, only one Sent/Received time is displayed, probably containing sent time. Now that delivery receipts are implemented, it would be possible to display the received time for outgoing messages (by taking the sent time from the receipt). Or to make it more precise, let the receipt message piggybag the real received time. This would make the user interface more consistent. When this is rejected for some reasons, I suggest renaming the ""Sent/Received"" label for outgoing messages to ""Sent"" because this is what it really is about.
####

Extracted pragmatic ambiguity segment(s): "
1,801-Signal,"{'Semantic': 1, 'Lexical': 1}",Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 801 | Request Title - Feature request: Mute Group (or any user) | Request Description - Sometimes friends in a group are discussing something I'm not interested in and my phone would go nuts vibrating and ringing all the time. A ""Mute for X minutes/hours"" feature would be awesome.
####

Extracted pragmatic ambiguity segment(s): "
2,898-Signal,O,Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 898 | Request Title - Search field missing in group creation dialog | Request Description - When creating a group and adding contacts, there is no search field on top of the contact list. This search field is present when composing a single message and a contact must be picked. Because it's missing in the contact picker when creating a group, it is harder to add contacts to a group.
####

Extracted pragmatic ambiguity segment(s): "
3,5963-Signal,O,Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 5963 | Request Title - Block numbers outside my contact list | Request Description - Add an option to allow completely blocking messages from contacts not in my contact list. This is very useful for children, to disable the possibility of them being approached by strangers.
####

Extracted pragmatic ambiguity segment(s): "
4,299-Signal,O,Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 299 | Request Title - Implement ""Quick Responses"" | Request Description - Android has an useful option for rejecting call with SMS. When you receive a call, you can reject it with pre-prepared or custom SMS. However, this SMS is not sent through TextSecure but through default Android application for sending SMS's. Can this be changed?
####

Extracted pragmatic ambiguity segment(s): "
5,5775-Signal,O,Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 5775 | Request Title - Add longer-term disappearing timeouts | Request Description - I have looked at all open and closed issues containing ""disappearing"" here and in the libsignal-java repo. I hope the bug belongs to this repo, sorry if not! For my use case, the 30s/.../1 week periods for disappearing messages are not useful. I quite often want to have a look at messages written within the last month. I'd thus not use the feature at all, even though in principle I think it is a good idea. I'd suggest to add further periods up to at least one year or something. (As I'm thinking of it, maybe it should even be 13 months rather than 12, so you can re-read what you were discussing on your last year's birthday or last christmas or whatever, and it only disappears little after) (Signal 3.19.1 on Android 6.0.1 / CM 13)
####

Extracted pragmatic ambiguity segment(s): "
6,1509-Signal,O,Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 1509 | Request Title - Adjustable font scaling | Request Description - It would be nice to be able to scale the font size of messages with respect to the system font size.  Sometimes it is convenient to see more conversation history on the screen at the expense of smaller sizes and reduced readability.
####

Extracted pragmatic ambiguity segment(s): "
7,4245-Signal,O,Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 4245 | Request Title - Low quality contact photo during call | Request Description - Calling screen doesn't show the full resolution contact photo on Signal 3.0.3
####

Extracted pragmatic ambiguity segment(s): "
8,7567-Signal,{'Syntactic': 3},Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 7567 | Request Title - [Feature Request] SMS/Signal Notifications profile | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/signalapp/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. When making Signal as default SMS manager, there is no way to have default SMS notification (Android settings) to be enforced and having the Signal notification settings just for Signal message/call only. Steps to reproduce.  Install Signal and enable SMS support. Actual result: The same Expected result: Use Android notification profile for regular SMS/MMS and use Signal settings for secure messages / call. I use Signal with a limited number of people and I wish to know the difference between regular SMS or secured one by the ringtone (secure messages are mostly more urgent than other SMS). Screenshots. Device info. Device: BlackBerry Motion Android version: 7.1.2 Signal version: 4.16.9 Link to debug log.
####

Extracted pragmatic ambiguity segment(s): "
9,6031-Signal,{'Lexical': 2},Extracted pragmatic ambiguity segment(s): No Defect Found,"Pragmatic ambiguity: Pragmatic ambiguity occurs when a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader. 
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract and list any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity; include all of them in a single comma-separated list. Make sure to have all elements of the list in quotation marks. If no segments are found, return No Defect Found. Do not give any explanations, reasoning, or any extra text that is not from the given statement.

Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####.
Statement: Request Number - 8 | Request Title - Add local and federated timeline | Request Description - At the moment there seems to be no way to access local and federated timeline. Please consider adding that feature.
####
Extracted pragmatic ambiguity segment(s): ['local and federated timeline', 'local and federated timeline']
# END
Statement: Request Number - 6592 | Request Title - [Feature] Add a private PDF previewer | Request Description - It would be very useful to be able to view PDF documents without saving them unencrypted and with a viewer that is guaranteed not to connect to the Internet or do other nasty things. I understand there's the danger of bloating Signal, but I think this possibility should at least be considered.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Extracted pragmatic ambiguity segment(s): ['a non-sense', 'on the left', 'they should be only one, 2 way']
# END
Statement: Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Extracted pragmatic ambiguity segment(s): No Defect Found
# END

Statement: Request Number - 6031 | Request Title - Fingerprint unlock | Request Description - Please add fingerprint support for unlocking the app as an alternative to passphrase
####

Extracted pragmatic ambiguity segment(s): "
