,RequestNumAppName,FeatureRequest,TextAnnotation-GT,TextAnnotation-GT-Formatted,TextAnnotation-GT-TupleFormat,PromptForGeneration
0,3192-Signal,Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.,No Defect Found,Extracted Pragmatic ambiguity text segment(s): No Defect Found,,"Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 3192 | Request Title - Image view in fullscreen | Request Description - Remove the action bar in the view where you can inspect a received picture to enlarge the image.
####
Extracted Pragmatic ambiguity segment(s):"
1,226-Signal,"Request Number - 226 | Request Title - Ability to edit messages for security | Request Description - My understanding of OTR protocol is that you are guarantied to be the sender of a message when it is received but the protocol also guaranties that nobody can prove a message was sent by you at a later point. Like a real life conversation. ""If know you said something to me, but I can not prove it at a later point"". This is great but unless TextSecure somehow allows people to alter the past of a conversation the app itself does provide a reasonable proof/indication that I said something in the past. Example: My friends phone is ceased and he is compromised to unlock TextSecure. OTR does not in any way guarantee I had our long conversation but since my friend is not a skilled hacker/developer able to alter the TextSecure database the conversation itself it a pretty good indicator/proof of the conversation being authentic. Solution: Add the option to edit a message (any message) from the Android Context Menu just like you can delete a message. Maybe also add the ability to insert a new message next to it.","['it.', 'ceased']","Extracted Pragmatic ambiguity text segment(s): ['it.', 'ceased']","[(""The word 'it' can point to multiple possible words in the previous sentence, creating multiple possible interpretations."", 'it.'), ('The word used here may be a near homophone of the intended word, which would create a different meaning if so.', 'ceased')]","Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 226 | Request Title - Ability to edit messages for security | Request Description - My understanding of OTR protocol is that you are guarantied to be the sender of a message when it is received but the protocol also guaranties that nobody can prove a message was sent by you at a later point. Like a real life conversation. ""If know you said something to me, but I can not prove it at a later point"". This is great but unless TextSecure somehow allows people to alter the past of a conversation the app itself does provide a reasonable proof/indication that I said something in the past. Example: My friends phone is ceased and he is compromised to unlock TextSecure. OTR does not in any way guarantee I had our long conversation but since my friend is not a skilled hacker/developer able to alter the TextSecure database the conversation itself it a pretty good indicator/proof of the conversation being authentic. Solution: Add the option to edit a message (any message) from the Android Context Menu just like you can delete a message. Maybe also add the ability to insert a new message next to it.
####
Extracted Pragmatic ambiguity segment(s):"
2,6069-Signal,"Request Number - 6069 | Request Title - Unread notification badges do not work on Huawei EMUI | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2",['on new messages'],Extracted Pragmatic ambiguity text segment(s): ['on new messages'],"[(""The word 'on' may have been used in place of 'about', creating both a literal and a potential corrected interpretation of the text."", 'on new messages')]","Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 6069 | Request Title - Unread notification badges do not work on Huawei EMUI | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. I've installed Signal on a Honor 8 (made by Huawei) with EMUI 4.1 (Android 6.0). I've noticed that Signal receives notifications on new messages and they are also listed in the notification area, but the unread notifications badge on the app icon on the home screen is not shown. In Signal support articles there is mentioned, that badge icons are supported for some launchers, see https://support.whispersystems.org/hc/en-us/articles/215766077-How-can-I-see-my-unread-badge-count-What-launcher-should-I-use- So far I could not find out if this is a Signal or EMUI problem, but Threema and Conversations show the notification badges. Device info. Device: Honor 8 Android version: 6.0 Signal version: 3.26.2
####
Extracted Pragmatic ambiguity segment(s):"
3,592-Signal,"Request Number - 592 | Request Title - Feature - Emoji | Request Description - I hate emoji, but this guy on this issue requested it and I figure I'll help him/you out by making a new issue/feature request.","['this guy', 'it', 'this issue']","Extracted Pragmatic ambiguity text segment(s): ['this guy', 'it', 'this issue']","[('The highlighted text refers to a person the author can currently view at the time of writing, but readers afterward must attempt to resolve the identity of later using contextual information about the author, which creates multiple possibilities for the target of the demonstrative and pronoun.', 'this guy'), ('The highlighted pronoun could be used as an anaphor for an existing concept in context, or as a deictic expression to introduce a new concept', 'it'), ('The highlighted text refers to an issue the author can currently view at the time of writing, but readers afterward must attempt to resolve the identity of later using contextual information about the author, which creates multiple possibilities for the target of the demonstrative.', 'this issue')]","Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 592 | Request Title - Feature - Emoji | Request Description - I hate emoji, but this guy on this issue requested it and I figure I'll help him/you out by making a new issue/feature request.
####
Extracted Pragmatic ambiguity segment(s):"
4,828-Signal,Request Number - 828 | Request Title - Feature Request: Group Administration | Request Description - TextSecure groups lack the possibility to remove participants after they were added.,No Defect Found,Extracted Pragmatic ambiguity text segment(s): No Defect Found,,"Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 828 | Request Title - Feature Request: Group Administration | Request Description - TextSecure groups lack the possibility to remove participants after they were added.
####
Extracted Pragmatic ambiguity segment(s):"
5,6077-Signal,"Request Number - 6077 | Request Title - Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider) | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b",No Defect Found,Extracted Pragmatic ambiguity text segment(s): No Defect Found,,"Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 6077 | Request Title - Update libphonenumber to >=8.2.0 (Cannot send SMS to my mobile provider) | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. My friend made me aware of this as I'm never checking my account status via SMS, but it doesn't work for me neither. To check our account status, we have to send an SMS message to 13977, but Signal fails to deliver it. I tried sending it through the native Oneplus SMS app and it goes through just fine, with an immediate response. I can send an SMS to other people, though, so it has something to do with that number. (Signal adds +385 to it for Croatia, maybe that's it?) Steps to reproduce.  send an SMS to my provider through Signal Actual result: it doesn't go through, ""Failed to send"", ""Some issues need your attention."" Expected result: Message should go through and I should get a response. Device info. Device: OnePlus3T Android version: 7.0 Signal version: 3.27.1 Link to debug log. https://gist.github.com/anonymous/f656572561ea3a91d0f4bbdeb98e587b
####
Extracted Pragmatic ambiguity segment(s):"
6,957-Signal,"Request Number - 957 | Request Title - Delivery reports for PUSHed messages? | Request Description - SMS messages support the notion of a delivery report that allows me to see when a message was actually delivered to the recipient. I miss that feature for PUSHed messages, though. It seems there is no way to request a delivery report?",No Defect Found,Extracted Pragmatic ambiguity text segment(s): No Defect Found,,"Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 957 | Request Title - Delivery reports for PUSHed messages? | Request Description - SMS messages support the notion of a delivery report that allows me to see when a message was actually delivered to the recipient. I miss that feature for PUSHed messages, though. It seems there is no way to request a delivery report?
####
Extracted Pragmatic ambiguity segment(s):"
7,969-Signal,"Request Number - 969 | Request Title - Color incoming messages in groups according to author | Request Description - Since there's so many UX experts around lately, I want to propose this: In groups, I always find it kind of annoying to have to read the name of the sender of a message. Somehow that distracts me from the actual messages. What do you think about this: In a group message, every incoming message is colored based on the author. Basically, we'd need a ""string to RGB"" hash function (shouldn't be that hard) and then color the background of their messages with 20% opacity (or so..) That way, I know that everything that's green is from my Buddy Bob, and everything that's yellow is from Alice, and I can just read the whole conversation without reading the name in front of every single message...",No Defect Found,Extracted Pragmatic ambiguity text segment(s): No Defect Found,,"Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 969 | Request Title - Color incoming messages in groups according to author | Request Description - Since there's so many UX experts around lately, I want to propose this: In groups, I always find it kind of annoying to have to read the name of the sender of a message. Somehow that distracts me from the actual messages. What do you think about this: In a group message, every incoming message is colored based on the author. Basically, we'd need a ""string to RGB"" hash function (shouldn't be that hard) and then color the background of their messages with 20% opacity (or so..) That way, I know that everything that's green is from my Buddy Bob, and everything that's yellow is from Alice, and I can just read the whole conversation without reading the name in front of every single message...
####
Extracted Pragmatic ambiguity segment(s):"
8,6362-Signal,"Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.",No Defect Found,Extracted Pragmatic ambiguity text segment(s): No Defect Found,,"Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 6362 | Request Title - Visual display for how many contacts are on Signal | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  It'd be nice if Signal had a screen that would show e.g. a pie chart that indicated how many of my contacts were on Signal. Or how many of the messages I send are encrypted. Tapping an element of the pie chart would then show a list of people in that category - this would be a nice way to get an overview of contacts I still need to convince to convert. There's probably also room for some gamification in here - the app could display something like e.g. ""Almost there! __"" when most, but not all, of my contacts were using Signal.
####
Extracted Pragmatic ambiguity segment(s):"
9,5751-Signal,"Request Number - 5751 | Request Title - Should a swiped-away notification reappear when new messages arrive? | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. A swiped away notification of a received SMS is displayed back after some time. Steps to reproduce.  Receive an SMS Without opening Signal, swipe away the new notification from the Android notification drawer Actual result: After some time the same notification is displayed back. I cannot tell exactly when. Maybe it is event related. Expected result: The notification should not be displayed, once it is swiped away. If another message is received from the same contact/number, a new notification should display the new message (or possibly the swiped away message and the new message). Device info. Device: LGE Nexus 5X (bullhead) Android: 7.0 (3141966, NRD90R) Memory: 15M (1.73% free, 192M max) Memclass: 192 OS Host: vped5.mtv.corp.google.com App: Signal 3.19.1 Link to debug log. https://gist.github.com/nagromc/c2a3a151ba09ed2f38265d3a723b8a52#file-issue-5751-comment-181395245-txt",No Defect Found,Extracted Pragmatic ambiguity text segment(s): No Defect Found,,"Pragmatic ambiguity: a sentence has several meanings in the context in which it is uttered. The context comprises the language context, i.e., the sentences uttered before and after, and the context beyond language, i.e., the situation, the background knowledge, and expectations of the speaker or hearer and the writer or reader.
You are a software analyst specializing in ambiguity detection in GitHub feature requests.
Carefully read the given statement. Extract any text segments containing Pragmatic ambiguity from the statement. Multiple segments may contain Pragmatic ambiguity. If ambiguous segments are found, return a list of tuples where: The first element of each tuple represents the reason why the extracted segment is ambiguous, and the second element is the extracted ambiguous text segment. Strictly make sure that each tuple's elements are enclosed in quotation marks. If no ambiguous segments are found, return ""No Defect Found"".
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement and extracted segments are separated using the trigger word ####. Strictly follow the provided demonstration. 
Statement: Request Number - 1283 | Request Title -Theme Support | Request Description - I\'m trying to convince a friend to use TextSecure but the themes from stuff like Go SMS PRO is keeping them on that platform unfortunately :( Maybe not a top priority feature, but it might help with adoption.
                    
####
Extracted Pragmatic ambiguity segment(s): [(""That platform is referring to a term that hasn't appeared in the text yet. "", 'that platform')]
# END
Statement: Request Number - 1875 | Request Title - Import backup: Please tell me how old the backup is I am going to import | Request Description - I would like the 'import backup' screen, that asks me whether I want to continue (""... will completely replace your existing keys, preferences, and messages""), to tell me the date of the backup I am going to import. (I mistakenly thought TS would automatically, regularly, create encrypted backups (like it should be, IMHO) and imported a backup from February -- half a year of messages and photos gone. Didn't know about #1631 )
####
Extracted Pragmatic ambiguity segment(s): No Defect Found
# END
Statement: Request Number - 5751 | Request Title - Should a swiped-away notification reappear when new messages arrive? | Request Description - I have:   searched open and closed issues for duplicates  read https://github.com/WhisperSystems/Signal-Android/wiki/Submitting-useful-bug-reports  Bug description. A swiped away notification of a received SMS is displayed back after some time. Steps to reproduce.  Receive an SMS Without opening Signal, swipe away the new notification from the Android notification drawer Actual result: After some time the same notification is displayed back. I cannot tell exactly when. Maybe it is event related. Expected result: The notification should not be displayed, once it is swiped away. If another message is received from the same contact/number, a new notification should display the new message (or possibly the swiped away message and the new message). Device info. Device: LGE Nexus 5X (bullhead) Android: 7.0 (3141966, NRD90R) Memory: 15M (1.73% free, 192M max) Memclass: 192 OS Host: vped5.mtv.corp.google.com App: Signal 3.19.1 Link to debug log. https://gist.github.com/nagromc/c2a3a151ba09ed2f38265d3a723b8a52#file-issue-5751-comment-181395245-txt
####
Extracted Pragmatic ambiguity segment(s):"
