,RequestNumAppName,FeatureRequest,TextAnnotation-GT,Questions,Questions-List,PromptForGeneration
0,1692-Signal,"Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))",the done date ),"What do you mean by ""done date""?","['What do you mean by ""done date""?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 1692 | Request Title - sms delivery report: show received time in message details | Request Description - when a sms delivery report is received, the time the other user received the message (afaik the done date ) should be saved and it should be possible to view it in message details. This way one could see when the other user received the message (not only that is was received). edit: if someone can give me a hint where to look/start in the code to implement this, I'd try to make a pull request (but I just glanced through the code and cannot find a starting point ... maybe it's simply too late already ;-))
####
Reason: ""done date"" can have various meanings in the text. 
####
Extracted Lexical ambiguity segment: the done date )
####
Clarifying Question(s): "
1,2943-Signal,Request Number - 2943 | Request Title - Where are the old text-only smileys? | Request Description - Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.,smileys?,"When you wrote 'smileys' did you mean 'just smileys', 'all emoticons', or something else?","[""When you wrote 'smileys' did you mean 'just smileys', 'all emoticons', or something else?""]","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 2943 | Request Title - Where are the old text-only smileys? | Request Description - Why did you remove the old text based smileys? I don't like all this emoji crap and preferred the other ones.
####
Reason: The term 'smiley' is a technical term referring to a single category of emoticon, but might be used as a broad term for all emoticons, creating two possible interpretations.
####
Extracted Lexical ambiguity segment: smileys?
####
Clarifying Question(s): "
2,604-Signal,"Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",push,"When discussing 'the new push based TextSecure', is 'push' being used as a technical term, to persuade, to force, or something else?","[""When discussing 'the new push based TextSecure', is 'push' being used as a technical term, to persuade, to force, or something else?""]","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.
####
Reason: The word 'push' can be a technical term with a different meaning than its literal definition, creating multiple possible interpretations.
####
Extracted Lexical ambiguity segment: push
####
Clarifying Question(s): "
3,72-Signal,Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!,JB-style,"When you wrote ""JB-style"", what is JB? Is it the name of another app, an abbreviation for another app (and if so, what app), or something else?","['When you wrote ""JB-style"", what is JB? Is it the name of another app, an abbreviation for another app (and if so, what app), or something else?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 72 | Request Title - Message content preview in notification bar | Request Description - I'd like to get a preview of the messagge in notification bar. Could be also good a JB-style quick reply fuction. Thanks for your working and this awesome software!
####
Reason: JB is an abbreviation that could represent multiple possible words or phrases, resulting in ambiguity.
####
Extracted Lexical ambiguity segment: JB-style
####
Clarifying Question(s): "
4,3446-Signal,"Request Number - 3446 | Request Title - Let me aggressively invite non-textsecure friends | Request Description - I just set Textsecure as my default SMS app on Android. Every time I send an unconventional SMS, I'd like to invite these users to install Textsecure/Signal, because I want more of my friends to be able to have private conversations with me. I also want Textsecure to spread organically because I think that'd be good for the world! I'd like a preference that would append short invite text and an invite link to every message provided there are enough characters, for example: ""Let's speak privately! SHORTLINK"" or ""Get privacy: SHORTLINK"" or ""Get this! SHORTLINK"" Ideally you'd experiment and figure out whatever text worked the best. For any user that sets their default SMS app as textsecure/signal, you should ask them if they'd like to turn this on.",unconventional,"When you wrote ""unconventional"", did you mean unusual, unsanctioned, non-traditional, or something else?","['When you wrote ""unconventional"", did you mean unusual, unsanctioned, non-traditional, or something else?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 3446 | Request Title - Let me aggressively invite non-textsecure friends | Request Description - I just set Textsecure as my default SMS app on Android. Every time I send an unconventional SMS, I'd like to invite these users to install Textsecure/Signal, because I want more of my friends to be able to have private conversations with me. I also want Textsecure to spread organically because I think that'd be good for the world! I'd like a preference that would append short invite text and an invite link to every message provided there are enough characters, for example: ""Let's speak privately! SHORTLINK"" or ""Get privacy: SHORTLINK"" or ""Get this! SHORTLINK"" Ideally you'd experiment and figure out whatever text worked the best. For any user that sets their default SMS app as textsecure/signal, you should ask them if they'd like to turn this on.
####
Reason: The selected word has multiple possible meanings, creating multiple possible interpretations of this sentence. The issue is compounded by the word choice being unusual for the semantically expected meaning.
####
Extracted Lexical ambiguity segment: unconventional
####
Clarifying Question(s): "
5,5238-Signal,"Request Number - 5238 | Request Title - Conveniently raise-to-speak and raise-to-listen Voice messages | Request Description - Telegram 3.5 added the very convenient raise-to-speak and raise-to-listen feature for voice messages: When a chat is open, bring your phone to your ear (as if taking a phone call) to listen to new voice messages or record a new one after the signal. Voice messaging is one of the most popular features of Wazzapp, raise-to-speak  and raise-to-listen would make it much easier to use, even better than the competition!",signal.,"How is the ""signal"" activated such that the user will know it is time to leave a voice message?","['How is the ""signal"" activated such that the user will know it is time to leave a voice message?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 5238 | Request Title - Conveniently raise-to-speak and raise-to-listen Voice messages | Request Description - Telegram 3.5 added the very convenient raise-to-speak and raise-to-listen feature for voice messages: When a chat is open, bring your phone to your ear (as if taking a phone call) to listen to new voice messages or record a new one after the signal. Voice messaging is one of the most popular features of Wazzapp, raise-to-speak  and raise-to-listen would make it much easier to use, even better than the competition!
####
Reason: ""signal"" is a noun without a reference index. 
####
Extracted Lexical ambiguity segment: signal.
####
Clarifying Question(s): "
6,604-Signal,"Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.",catch,"When you wrote ""TextSecure doesn't catch it"", do you mean ""TextSecure doesn't observe it"", ""TextSecure doesn't intercept it"", or something else?","['When you wrote ""TextSecure doesn\'t catch it"", do you mean ""TextSecure doesn\'t observe it"", ""TextSecure doesn\'t intercept it"", or something else?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 604 | Request Title - Number registration (for push messaging) doesn't work with Google Voice | Request Description - The new push based TextSecure doesn't seem to like using Google Voice numbers (which are then forwarded to my phone's real number via SMS).  Although there are of course privacy downsides associated with letting Google see all of your incoming/outgoing SMS data, there are also serious privacy harms associated with letting people know your actual phone number, rather than a number that will just forward texts to you* The first step of the TextSecure number registration process (""Connecting"") works fine. An incoming text message with the verification code is received by the default Android SMS app, but TextSecure doesn't catch it. Thankfully, after 2 minutes of waiting, I am given the opportunity verify by voice, which does work.
####
Reason: The word 'catch' has multiple definitions that fit this sentence, which creates multiple possible interpretations.
####
Extracted Lexical ambiguity segment: catch
####
Clarifying Question(s): "
7,1819-Signal,"Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,",slide.,"When you wrote ""trigger the slide"" did you mean the act of moving into or out of view, the act of moving within the view, scrolling of contents within the object, or something else?","['When you wrote ""trigger the slide"" did you mean the act of moving into or out of view, the act of moving within the view, scrolling of contents within the object, or something else?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 1819 | Request Title - Request - UI : Sliding pannel & option.  | Request Description - Hello, I believe that  there is a non-sense in the UI with a sliding panel on the left and a ""regular"" menu. In my sense they should be only one, 2 way to access the ""option"" is confusing. One thing could be that the sliding menu and the option button could trigger the slide. Regards,
####
Reason: The word ""slide"" can represent multiple concepts in UI, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: slide.
####
Clarifying Question(s): "
8,4049-Signal,Request Number - 4049 | Request Title - delivery indicator in conversation list item | Request Description - the conversation summary should show the most recent message's delivery status if it's outgoing,conversation summary,"What do you mean by ""conversation summary""?","['What do you mean by ""conversation summary""?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 4049 | Request Title - delivery indicator in conversation list item | Request Description - the conversation summary should show the most recent message's delivery status if it's outgoing
####
Reason: ""Conversation summary"" can have multiple interpretations in a messaging app. It is not clear what the requester is referring to.
####
Extracted Lexical ambiguity segment: conversation summary
####
Clarifying Question(s): "
9,6013-Signal,"Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.",long,"When you wrote ""how long some conversations go"", does ""long"" refer to long in amount of correspondence, long in duration of time, or something else?","['When you wrote ""how long some conversations go"", does ""long"" refer to long in amount of correspondence, long in duration of time, or something else?']","Lexical ambiguity: a word has multiple meanings, making its interpretation dependent on the context. It can arise in two forms: (1) when a word has  unrelated meanings despite sharing the same spelling and pronunciation, it is called homonym (e.g., ""bank"" as a financial institution vs. ""bank"" as the side of a river). These meanings originate from different etymology root (2) when a word has  related meanings that stem from a single etymology, it is referred to as Polysemy (e.g., ""green"" referring to the color and to something environmentally friendly).
You are a software analyst specializing in Lexical ambiguity resolution in GitHub feature requests.
Carefully read the provided statement along with the extracted Lexical ambiguity segment and the reasoning behind why the extracted text segment is considered ambiguous. Based on the information, generate clear and concise clarification questions aimed at addressing the Lexical ambiguity in the extracted text segment; include all generated clarifying questions in a single comma-separated list. Make sure to have all elements of the list in quotation marks.
Demonstrations are provided for clarity. Each demonstration is separated by the trigger word # END. Inside each demonstration, the statement, reason, extracted segment, and clarifying questions are separated using the trigger word ####. Strictly follow the provided demonstration.
Statement: Request Number - 587 | Request Title - Support an 'invite friends' feature. | Request Description - How about having a handy link (and easily found) to allow users to share your app?
####
Reason: The word 'handy' can be used to describe multiple different qualities, creating multiple possible meanings
####
Extracted Lexical ambiguity segment: handy
####
Clarifying Question(s): [""When you wrote about a 'handy' link, did you mean 'simple', 'useful', 'effective', 'easily accessible', or something else?""]
# END
Request Number - 6013 | Request Title - Feature Request: Disappearing Message Time of 15 Minutes | Request Description - The disappearing message function is something that I make heavy use of, but there seems to be a gap in the options. When thinking about how long some conversations go, 5 minutes seems too quick, but 30 minutes is too long. I'd love for there to be a 15 minute option. Given some of the feature requests I saw while looking to see if someone else asked for 15 minutes, it might be smart to support a custom time option somewhere.
####
Reason: The selected word can have multiple meanings that fit in the context, creating multiple possible interpretations of the sentence.
####
Extracted Lexical ambiguity segment: long
####
Clarifying Question(s): "
